REPORT_SORT, DEPT_NUM, DEPT_SORT, DEPT_NAME, RDU_NUM, RDU_SORT, 7 RDU_NAME, COMP_NUM, COMP_SORT, 10 COMP_NAME, 11 REPORT_LINE, 12 LINE_TYPE, FUND_CODE, 14 FUND_GROUP, 15 DUPLICATED_INDICATOR, 16 SCEN1_AMOUNT,SCEN2_AMOUNT,SCEN3_AMOUNT,SCEN4_AMOUNT,SCEN5_AMOUNT,SCEN6_AMOUNT,SCEN7_AMOUNT,SCEN8_AMOUNT,SCEN9_AMOUNT,SCEN10_AMOUNT
1,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,Line 71000,Expenditure,0,,,1370.4,0,0,0,0,0,0,0,0,0
2,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,Line 72000,Expenditure,0,,,65.6,0,0,0,0,0,0,0,0,0
3,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,Line 73000,Expenditure,0,,,313.3,0,0,0,0,0,0,0,0,0
4,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,Line 74000,Expenditure,0,,,8.8,0,0,0,0,0,0,0,0,0
5,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,Line 75000,Expenditure,0,,,0,0,0,0,0,0,0,0,0,0
6,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,Line 76000,Expenditure,0,,,0,0,0,0,0,0,0,0,0,0
7,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,Line 77000,Expenditure,0,,,0,0,0,0,0,0,0,0,0,0
8,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,Line 78000,Expenditure,0,,,0,0,0,0,0,0,0,0,0,0
1004,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,1004 General Fund Receipts,Revenue,1004,UGF,,707.2,0,0,0,0,0,0,0,0,0
1026,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,1026 Highways/Equipment Working Capital Fund,Revenue,1026,Other,Duplicated,67.4,0,0,0,0,0,0,0,0,0
1027,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,1027 International Airport Revenue Fund,Revenue,1027,Other,,152,0,0,0,0,0,0,0,0,0
1061,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,1061 Capital Improvement Project Receipts,Revenue,1061,Other,Duplicated,526,0,0,0,0,0,0,0,0,0
1076,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,1076 Marine Highway System Fund,Revenue,1076,DGF,,257.3,0,0,0,0,0,0,0,0,0
1244,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,1244 Rural Airport Receipts,Revenue,1244,Other,,48.2,0,0,0,0,0,0,0,0,0
10000,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,PFT,Position Count,0,,,8,0,0,0,0,0,0,0,0,0
12000,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,NP,Position Count,0,,,1,0,0,0,0,0,0,0,0,0
1,25,15,Transportation,333,1,Administration and Support,2355,2,Contracting and Appeals,Line 71000,Expenditure,0,,,343.1,0,0,0,0,0,0,0,0,0
2,25,15,Transportation,333,1,Administration and Support,2355,2,Contracting and Appeals,Line 72000,Expenditure,0,,,3.1,0,0,0,0,0,0,0,0,0
3,25,15,Transportation,333,1,Administration and Support,2355,2,Contracting and Appeals,Line 73000,Expenditure,0,,,16.8,0,0,0,0,0,0,0,0,0
4,25,15,Transportation,333,1,Administration and Support,2355,2,Contracting and Appeals,Line 74000,Expenditure,0,,,2,0,0,0,0,0,0,0,0,0
5,25,15,Transportation,333,1,Administration and Support,2355,2,Contracting and Appeals,Line 75000,Expenditure,0,,,0,0,0,0,0,0,0,0,0,0
6,25,15,Transportation,333,1,Administration and Support,2355,2,Contracting and Appeals,Line 76000,Expenditure,0,,,0,0,0,0,0,0,0,0,0,0
7,25,15,Transportation,333,1,Administration and Support,2355,2,Contracting and Appeals,Line 77000,Expenditure,0,,,0,0,0,0,0,0,0,0,0,0
8,25,15,Transportation,333,1,Administration and Support,2355,2,Contracting and Appeals,Line 78000,Expenditure,0,,,0,0,0,0,0,0,0,0,0,0
1004,25,15,Transportation,333,1,Administration and Support,2355,2,Contracting and Appeals,1004 General Fund Receipts,Revenue,1004,UGF,,34.2,0,0,0,0,0,0,0,0,0
1007,25,15,Transportation,333,1,Administration and Support,2355,2,Contracting and Appeals,1007 Interagency Receipts,Revenue,1007,Other,Duplicated,7,0,0,0,0,0,0,0,0,0
1061,25,15,Transportation,333,1,Administration and Support,2355,2,Contracting and Appeals,1061 Capital Improvement Project Receipts,Revenue,1061,Other,Duplicated,312.8,0,0,0,0,0,0,0,0,0
1076,25,15,Transportation,333,1,Administration and Support,2355,2,Contracting and Appeals,1076 Marine Highway System Fund,Revenue,1076,DGF,,11,0,0,0,0,0,0,0,0,0
